Process_all,Process_name,Region,General_information,Unit,count_excel,Process_info_withoutregion,count_all_excel
"heat, district or industrial, other than natural gas//[RoW] linerboard production, kraftliner","heat, district or industrial, other than natural gas",[RoW],"linerboard production, kraftliner",MJ,200,"heat, district or industrial, other than natural gas_linerboard production, kraftliner",3
"residual softwood, wet//[RoW] linerboard production, kraftliner","residual softwood, wet",[RoW],"linerboard production, kraftliner",m3,9,"residual softwood, wet_linerboard production, kraftliner",3
"solvent, organic//[RoW] linerboard production, kraftliner","solvent, organic",[RoW],"linerboard production, kraftliner",kg,11,"solvent, organic_linerboard production, kraftliner",3
"pitch//[RoW] linerboard production, kraftliner",pitch,[RoW],"linerboard production, kraftliner",kg,7,"pitch_linerboard production, kraftliner",3
liquid manure storage and processing facility//[RoW] liquid manure storage and processing facility construction,liquid manure storage and processing facility,[RoW],liquid manure storage and processing facility construction,m3,3,liquid manure storage and processing facility_liquid manure storage and processing facility construction,2
liquid manure tank trailer//[RoW] liquid manure tank trailer production,liquid manure tank trailer,[RoW],liquid manure tank trailer production,kg,3,liquid manure tank trailer_liquid manure tank trailer production,2
"liquid storage tank, chemicals, organics//[RoW] liquid storage tank production, chemicals, organics","liquid storage tank, chemicals, organics",[RoW],"liquid storage tank production, chemicals, organics",unit,3,"liquid storage tank, chemicals, organics_liquid storage tank production, chemicals, organics",2
lithium fluoride//[RoW] lithium fluoride production,lithium fluoride,[RoW],lithium fluoride production,kg,3,lithium fluoride_lithium fluoride production,2
lithium hexafluorophosphate//[RoW] lithium hexafluorophosphate production,lithium hexafluorophosphate,[RoW],lithium hexafluorophosphate production,kg,3,lithium hexafluorophosphate_lithium hexafluorophosphate production,2
locomotive//[RoW] locomotive production,locomotive,[RoW],locomotive production,unit,3,locomotive_locomotive production,2
"lorry, 16 metric ton//[RoW] lorry production, 16 metric ton","lorry, 16 metric ton",[RoW],"lorry production, 16 metric ton",unit,3,"lorry, 16 metric ton_lorry production, 16 metric ton",2
"lorry, 28 metric ton//[RoW] lorry production, 28 metric ton","lorry, 28 metric ton",[RoW],"lorry production, 28 metric ton",unit,3,"lorry, 28 metric ton_lorry production, 28 metric ton",2
"lorry, 40 metric ton//[RoW] lorry production, 40 metric ton","lorry, 40 metric ton",[RoW],"lorry production, 40 metric ton",unit,3,"lorry, 40 metric ton_lorry production, 40 metric ton",2
"potassium chloride, as K2O//[RoW] magnesium production, electrolysis","potassium chloride, as K2O",[RoW],"magnesium production, electrolysis",kg,10,"potassium chloride, as K2O_magnesium production, electrolysis",2
"magnesium//[RoW] magnesium production, electrolysis",magnesium,[RoW],"magnesium production, electrolysis",kg,5,"magnesium_magnesium production, electrolysis",2
"chlorine, liquid//[RoW] magnesium production, electrolysis","chlorine, liquid",[RoW],"magnesium production, electrolysis",kg,4,"chlorine, liquid_magnesium production, electrolysis",2
"maintenance, bicycle//[RoW] maintenance, bicycle","maintenance, bicycle",[RoW],"maintenance, bicycle",unit,3,"maintenance, bicycle_maintenance, bicycle",2
"maintenance, bus//[RoW] maintenance, bus","maintenance, bus",[RoW],"maintenance, bus",unit,3,"maintenance, bus_maintenance, bus",2
"maintenance, electric bicycle//[RoW] maintenance, electric bicycle","maintenance, electric bicycle",[RoW],"maintenance, electric bicycle",unit,3,"maintenance, electric bicycle_maintenance, electric bicycle",2
"maintenance, goods wagon//[RoW] maintenance, goods wagon","maintenance, goods wagon",[RoW],"maintenance, goods wagon",unit,3,"maintenance, goods wagon_maintenance, goods wagon",2
"maintenance, heat and power co-generation unit, 160kW electrical//[RoW] maintenance, heat and power co-generation unit, 160kW electrical","maintenance, heat and power co-generation unit, 160kW electrical",[RoW],"maintenance, heat and power co-generation unit, 160kW electrical",unit,3,"maintenance, heat and power co-generation unit, 160kW electrical_maintenance, heat and power co-generation unit, 160kW electrical",2
"maintenance, locomotive//[RoW] maintenance, locomotive","maintenance, locomotive",[RoW],"maintenance, locomotive",unit,3,"maintenance, locomotive_maintenance, locomotive",2
"maintenance, mini CHP plant//[RoW] maintenance, mini CHP plant","maintenance, mini CHP plant",[RoW],"maintenance, mini CHP plant",unit,3,"maintenance, mini CHP plant_maintenance, mini CHP plant",2
"maintenance, motor scooter//[RoW] maintenance, motor scooter","maintenance, motor scooter",[RoW],"maintenance, motor scooter",unit,3,"maintenance, motor scooter_maintenance, motor scooter",2
"passenger car maintenance//[RoW] maintenance, passenger car",passenger car maintenance,[RoW],"maintenance, passenger car",unit,3,"passenger car maintenance_maintenance, passenger car",2
"maintenance, train, passenger, high-speed//[RoW] maintenance, train, passenger, high-speed","maintenance, train, passenger, high-speed",[RoW],"maintenance, train, passenger, high-speed",unit,3,"maintenance, train, passenger, high-speed_maintenance, train, passenger, high-speed",2
"maintenance, train, passenger, long distance//[RoW] maintenance, train, passenger, long distance","maintenance, train, passenger, long distance",[RoW],"maintenance, train, passenger, long distance",unit,3,"maintenance, train, passenger, long distance_maintenance, train, passenger, long distance",2
"maintenance, train, passenger, regional//[RoW] maintenance, train, passenger, regional","maintenance, train, passenger, regional",[RoW],"maintenance, train, passenger, regional",unit,3,"maintenance, train, passenger, regional_maintenance, train, passenger, regional",2
"maintenance, tram//[RoW] maintenance, tram","maintenance, tram",[RoW],"maintenance, tram",unit,3,"maintenance, tram_maintenance, tram",2
"maize grain, feed, organic//[RoW] maize grain, feed production, organic","maize grain, feed, organic",[RoW],"maize grain, feed production, organic",kg,3,"maize grain, feed, organic_maize grain, feed production, organic",2
"maize grain, feed, Swiss integrated production//[RoW] maize grain, feed production, Swiss integrated production","maize grain, feed, Swiss integrated production",[RoW],"maize grain, feed production, Swiss integrated production",kg,3,"maize grain, feed, Swiss integrated production_maize grain, feed production, Swiss integrated production",2
maize starch//[RoW] maize starch production,maize starch,[RoW],maize starch production,kg,8,maize starch_maize starch production,2
maleic anhydride//[RoW] maleic anhydride production by catalytic oxidation of benzene,maleic anhydride,[RoW],maleic anhydride production by catalytic oxidation of benzene,kg,6,maleic anhydride_maleic anhydride production by catalytic oxidation of benzene,2
"steam, in chemical industry//[RoW] maleic anhydride production by catalytic oxidation of benzene","steam, in chemical industry",[RoW],maleic anhydride production by catalytic oxidation of benzene,kg,9,"steam, in chemical industry_maleic anhydride production by catalytic oxidation of benzene",2
"steam, in chemical industry//[RoW] maleic anhydride production by direct oxidation of n-butane","steam, in chemical industry",[RoW],maleic anhydride production by direct oxidation of n-butane,kg,9,"steam, in chemical industry_maleic anhydride production by direct oxidation of n-butane",2
maleic anhydride//[RoW] maleic anhydride production by direct oxidation of n-butane,maleic anhydride,[RoW],maleic anhydride production by direct oxidation of n-butane,kg,6,maleic anhydride_maleic anhydride production by direct oxidation of n-butane,2
"diesel, low-sulfur//[RoW] market for diesel, low-sulfur","diesel, low-sulfur",[RoW],"market for diesel, low-sulfur",kg,6,"diesel, low-sulfur_market for diesel, low-sulfur",3
diesel//[RoW] market for diesel,diesel,[RoW],market for diesel,kg,6,diesel_market for diesel,3
"ethanol, without water, in 99.7% solution state, from fermentation, at service station//[RoW] market for ethanol, without water, in 99.7% solution state, from fermentation, at service station","ethanol, without water, in 99.7% solution state, from fermentation, at service station",[RoW],"market for ethanol, without water, in 99.7% solution state, from fermentation, at service station",kg,4,"ethanol, without water, in 99.7% solution state, from fermentation, at service station_market for ethanol, without water, in 99.7% solution state, from fermentation, at service station",2
hard coal//[RoW] market for hard coal,hard coal,[RoW],market for hard coal,kg,20,hard coal_market for hard coal,10
heavy fuel oil//[RoW] market for heavy fuel oil,heavy fuel oil,[RoW],market for heavy fuel oil,kg,6,heavy fuel oil_market for heavy fuel oil,3
kerosene//[RoW] market for kerosene,kerosene,[RoW],market for kerosene,kg,7,kerosene_market for kerosene,3
light fuel oil//[RoW] market for light fuel oil,light fuel oil,[RoW],market for light fuel oil,kg,7,light fuel oil_market for light fuel oil,3
liquefied petroleum gas//[RoW] market for liquefied petroleum gas,liquefied petroleum gas,[RoW],market for liquefied petroleum gas,kg,6,liquefied petroleum gas_market for liquefied petroleum gas,2
naphtha//[RoW] market for naphtha,naphtha,[RoW],market for naphtha,kg,5,naphtha_market for naphtha,2
"petrol, low-sulfur//[RoW] market for petrol, low-sulfur","petrol, low-sulfur",[RoW],"market for petrol, low-sulfur",kg,7,"petrol, low-sulfur_market for petrol, low-sulfur",3
"petrol, unleaded//[RoW] market for petrol, unleaded","petrol, unleaded",[RoW],"market for petrol, unleaded",kg,5,"petrol, unleaded_market for petrol, unleaded",2
"medium density fibreboard//[RoW] medium density fibre board production, uncoated",medium density fibreboard,[RoW],"medium density fibre board production, uncoated",m3,3,"medium density fibreboard_medium density fibre board production, uncoated",2
"residual wood, dry//[RoW] medium density fibre board production, uncoated","residual wood, dry",[RoW],"medium density fibre board production, uncoated",m3,36,"residual wood, dry_medium density fibre board production, uncoated",2
"paper, melamine impregnated//[RoW] melamine impregnated paper production","paper, melamine impregnated",[RoW],melamine impregnated paper production,kg,3,"paper, melamine impregnated_melamine impregnated paper production",2
"metal working machine, unspecified//[RoW] metal working machine production, unspecified","metal working machine, unspecified",[RoW],"metal working machine production, unspecified",kg,3,"metal working machine, unspecified_metal working machine production, unspecified",2
"methane, 96% by volume//[RoW] methane production, 96% by volume, from synthetic gas, wood","methane, 96% by volume",[RoW],"methane production, 96% by volume, from synthetic gas, wood",m3,5,"methane, 96% by volume_methane production, 96% by volume, from synthetic gas, wood",2
"methanol, from biomass//[RoW] methanol production, from synthetic gas","methanol, from biomass",[RoW],"methanol production, from synthetic gas",kg,4,"methanol, from biomass_methanol production, from synthetic gas",2
methyl methacrylate//[RoW] methyl methacrylate production,methyl methacrylate,[RoW],methyl methacrylate production,kg,3,methyl methacrylate_methyl methacrylate production,2
methylchloride//[RoW] methylchloride production,methylchloride,[RoW],methylchloride production,kg,3,methylchloride_methylchloride production,2
methylene diphenyl diisocyanate//[RoW] methylene diphenyl diisocyanate production,methylene diphenyl diisocyanate,[RoW],methylene diphenyl diisocyanate production,kg,3,methylene diphenyl diisocyanate_methylene diphenyl diisocyanate production,2
"micro gas turbine, 100kW electrical//[RoW] micro gas turbine production, 100kW electrical","micro gas turbine, 100kW electrical",[RoW],"micro gas turbine production, 100kW electrical",unit,3,"micro gas turbine, 100kW electrical_micro gas turbine production, 100kW electrical",2
"cow milk//[RoW] milk production, from cow",cow milk,[RoW],"milk production, from cow",kg,3,"cow milk_milk production, from cow",2
"cattle for slaughtering, live weight//[RoW] milk production, from cow","cattle for slaughtering, live weight",[RoW],"milk production, from cow",kg,3,"cattle for slaughtering, live weight_milk production, from cow",2
milking parlour//[RoW] milking parlour construction,milking parlour,[RoW],milking parlour construction,unit,3,milking parlour_milking parlour construction,2
"mine infrastructure, open cast, lignite//[RoW] mine construction, open cast, lignite","mine infrastructure, open cast, lignite",[RoW],"mine construction, open cast, lignite",unit,3,"mine infrastructure, open cast, lignite_mine construction, open cast, lignite",2
"mine infrastructure, underground, hard coal//[RoW] mine construction, underground, hard coal","mine infrastructure, underground, hard coal",[RoW],"mine construction, underground, hard coal",unit,3,"mine infrastructure, underground, hard coal_mine construction, underground, hard coal",2
"mine infrastructure, open cast, peat//[RoW] mine infrastructure construction, open cast, peat","mine infrastructure, open cast, peat",[RoW],"mine infrastructure construction, open cast, peat",unit,3,"mine infrastructure, open cast, peat_mine infrastructure construction, open cast, peat",2
"miscanthus rhizome, for planting//[RoW] miscanthus rhizome production, for planting","miscanthus rhizome, for planting",[RoW],"miscanthus rhizome production, for planting",unit,3,"miscanthus rhizome, for planting_miscanthus rhizome production, for planting",2
"miscanthus, chopped//[RoW] miscanthus rhizome production, for planting","miscanthus, chopped",[RoW],"miscanthus rhizome production, for planting",kg,5,"miscanthus, chopped_miscanthus rhizome production, for planting",2
hexane//[RoW] molecular sieve separation of naphtha,hexane,[RoW],molecular sieve separation of naphtha,kg,3,hexane_molecular sieve separation of naphtha,2
heptane//[RoW] molecular sieve separation of naphtha,heptane,[RoW],molecular sieve separation of naphtha,kg,3,heptane_molecular sieve separation of naphtha,2
methylcyclohexane//[RoW] molecular sieve separation of naphtha,methylcyclohexane,[RoW],molecular sieve separation of naphtha,kg,5,methylcyclohexane_molecular sieve separation of naphtha,2
molybdenum//[RoW] molybdenum production,molybdenum,[RoW],molybdenum production,kg,3,molybdenum_molybdenum production,2
cadmium sludge from zinc electrolysis//[RoW] molybdenum production,cadmium sludge from zinc electrolysis,[RoW],molybdenum production,kg,4,cadmium sludge from zinc electrolysis_molybdenum production,2
"indium rich leaching residues, from zinc production//[RoW] molybdenum production","indium rich leaching residues, from zinc production",[RoW],molybdenum production,kg,4,"indium rich leaching residues, from zinc production_molybdenum production",2
"motor scooter, 50 cubic cm engine//[RoW] motor scooter production","motor scooter, 50 cubic cm engine",[RoW],motor scooter production,unit,3,"motor scooter, 50 cubic cm engine_motor scooter production",2
"MOX fuel element, for light water reactor//[RoW] MOX fuel element production, for light water reactor","MOX fuel element, for light water reactor",[RoW],"MOX fuel element production, for light water reactor",kg,3,"MOX fuel element, for light water reactor_MOX fuel element production, for light water reactor",2
municipal waste incineration facility//[RoW] municipal waste incineration facility construction,municipal waste incineration facility,[RoW],municipal waste incineration facility construction,unit,3,municipal waste incineration facility_municipal waste incineration facility construction,2
ethane//[RoW] natural gas production,ethane,[RoW],natural gas production,kg,4,ethane_natural gas production,2
"natural gas, high pressure//[RoW] natural gas production","natural gas, high pressure",[RoW],natural gas production,m3,81,"natural gas, high pressure_natural gas production",6
propane//[RoW] natural gas production,propane,[RoW],natural gas production,kg,4,propane_natural gas production,2
natural gas service station//[RoW] natural gas service station construction,natural gas service station,[RoW],natural gas service station construction,unit,3,natural gas service station_natural gas service station construction,2
n-olefins//[RoW] n-olefins production,n-olefins,[RoW],n-olefins production,kg,3,n-olefins_n-olefins production,2
nuclear fuel factory//[RoW] nuclear fuel factory construction,nuclear fuel factory,[RoW],nuclear fuel factory construction,unit,4,nuclear fuel factory_nuclear fuel factory construction,3
"nuclear power plant, pressure water reactor, 650MW//[RoW] nuclear power plant construction, pressure water reactor 650MW","nuclear power plant, pressure water reactor, 650MW",[RoW],"nuclear power plant construction, pressure water reactor 650MW",unit,3,"nuclear power plant, pressure water reactor, 650MW_nuclear power plant construction, pressure water reactor 650MW",2
nuclear spent fuel conditioning facility//[RoW] nuclear spent fuel conditioning facility construction,nuclear spent fuel conditioning facility,[RoW],nuclear spent fuel conditioning facility construction,unit,4,nuclear spent fuel conditioning facility_nuclear spent fuel conditioning facility construction,3
nuclear spent fuel reprocessing facility//[RoW] nuclear spent fuel reprocessing facility construction,nuclear spent fuel reprocessing facility,[RoW],nuclear spent fuel reprocessing facility construction,unit,3,nuclear spent fuel reprocessing facility_nuclear spent fuel reprocessing facility construction,2
"nuclear waste storage, final repository for low level radioactive waste//[RoW] nuclear waste storage construction, final repository for low level radioactive waste","nuclear waste storage, final repository for low level radioactive waste",[RoW],"nuclear waste storage construction, final repository for low level radioactive waste",unit,3,"nuclear waste storage, final repository for low level radioactive waste_nuclear waste storage construction, final repository for low level radioactive waste",2
"nuclear waste storage, interim, for high level radioactive waste before final repository//[RoW] nuclear waste storage construction, interim, for high level radioactive waste before final repository","nuclear waste storage, interim, for high level radioactive waste before final repository",[RoW],"nuclear waste storage construction, interim, for high level radioactive waste before final repository",unit,3,"nuclear waste storage, interim, for high level radioactive waste before final repository_nuclear waste storage construction, interim, for high level radioactive waste before final repository",2
"nuclear waste storage, interim, for low level radioactive waste before final repository//[RoW] nuclear waste storage construction, interim, for low level radioactive waste before final repository","nuclear waste storage, interim, for low level radioactive waste before final repository",[RoW],"nuclear waste storage construction, interim, for low level radioactive waste before final repository",unit,3,"nuclear waste storage, interim, for low level radioactive waste before final repository_nuclear waste storage construction, interim, for low level radioactive waste before final repository",2
"nylon 6, glass-filled//[RoW] nylon 6 production, glass-filled","nylon 6, glass-filled",[RoW],"nylon 6 production, glass-filled",kg,3,"nylon 6, glass-filled_nylon 6 production, glass-filled",2
nylon 6//[RoW] nylon 6 production,nylon 6,[RoW],nylon 6 production,kg,3,nylon 6_nylon 6 production,2
"nylon 6-6, glass-filled//[RoW] nylon 6-6 production, glass-filled","nylon 6-6, glass-filled",[RoW],"nylon 6-6 production, glass-filled",kg,3,"nylon 6-6, glass-filled_nylon 6-6 production, glass-filled",2
nylon 6-6//[RoW] nylon 6-6 production,nylon 6-6,[RoW],nylon 6-6 production,kg,3,nylon 6-6_nylon 6-6 production,2
"printed paper, offset//[RoW] offset printing, per kg printed paper","printed paper, offset",[RoW],"offset printing, per kg printed paper",kg,3,"printed paper, offset_offset printing, per kg printed paper",2
"oil boiler, 100kW//[RoW] oil boiler production, 100kW","oil boiler, 100kW",[RoW],"oil boiler production, 100kW",unit,3,"oil boiler, 100kW_oil boiler production, 100kW",2
"oil boiler, 10kW//[RoW] oil boiler production, 10kW","oil boiler, 10kW",[RoW],"oil boiler production, 10kW",unit,3,"oil boiler, 10kW_oil boiler production, 10kW",2
"oil power plant, 500MW//[RoW] oil power plant construction, 500MW","oil power plant, 500MW",[RoW],"oil power plant construction, 500MW",unit,3,"oil power plant, 500MW_oil power plant construction, 500MW",2
"oil storage, 3000l//[RoW] oil storage production, 3000l","oil storage, 3000l",[RoW],"oil storage production, 3000l",unit,3,"oil storage, 3000l_oil storage production, 3000l",2
"printed paper//[RoW] operation, printer, laser, black/white, per kg printed paper",printed paper,[RoW],"operation, printer, laser, black/white, per kg printed paper",kg,9,"printed paper_operation, printer, laser, black/white, per kg printed paper",4
"printed paper//[RoW] operation, printer, laser, colour, per kg printed paper",printed paper,[RoW],"operation, printer, laser, colour, per kg printed paper",kg,9,"printed paper_operation, printer, laser, colour, per kg printed paper",4
oriented strand board//[RoW] oriented strand board production,oriented strand board,[RoW],oriented strand board production,m3,4,oriented strand board_oriented strand board production,3
"residual wood, dry//[RoW] oriented strand board production","residual wood, dry",[RoW],oriented strand board production,m3,36,"residual wood, dry_oriented strand board production",3
"bark chips, wet, measured as dry mass//[RoW] oriented strand board production","bark chips, wet, measured as dry mass",[RoW],oriented strand board production,kg,16,"bark chips, wet, measured as dry mass_oriented strand board production",2
"outside air intake, stainless steel, DN 370//[RoW] outside air intake production, stainless steel, DN 370","outside air intake, stainless steel, DN 370",[RoW],"outside air intake production, stainless steel, DN 370",unit,3,"outside air intake, stainless steel, DN 370_outside air intake production, stainless steel, DN 370",2
methyl acetate//[RoW] oxidation of butane,methyl acetate,[RoW],oxidation of butane,kg,3,methyl acetate_oxidation of butane,2
formic acid//[RoW] oxidation of butane,formic acid,[RoW],oxidation of butane,kg,8,formic acid_oxidation of butane,2
"acetic acid, without water, in 98% solution state//[RoW] oxidation of butane","acetic acid, without water, in 98% solution state",[RoW],oxidation of butane,kg,7,"acetic acid, without water, in 98% solution state_oxidation of butane",2
ethyl acetate//[RoW] oxidation of butane,ethyl acetate,[RoW],oxidation of butane,kg,5,ethyl acetate_oxidation of butane,2
methyl ethyl ketone//[RoW] oxidation of butane,methyl ethyl ketone,[RoW],oxidation of butane,kg,5,methyl ethyl ketone_oxidation of butane,2
"acetone, liquid//[RoW] oxidation of butane","acetone, liquid",[RoW],oxidation of butane,kg,5,"acetone, liquid_oxidation of butane",2
formaldehyde//[RoW] oxidation of methanol,formaldehyde,[RoW],oxidation of methanol,kg,3,formaldehyde_oxidation of methanol,2
"steam, in chemical industry//[RoW] oxidation of methanol","steam, in chemical industry",[RoW],oxidation of methanol,kg,9,"steam, in chemical industry_oxidation of methanol",2
packaging box factory//[RoW] packaging box factory construction,packaging box factory,[RoW],packaging box factory construction,unit,3,packaging box factory_packaging box factory construction,2
packaging glass factory//[RoW] packaging glass factory construction,packaging glass factory,[RoW],packaging glass factory construction,unit,3,packaging glass factory_packaging glass factory construction,2
"packaging glass, brown//[RoW] packaging glass production, brown","packaging glass, brown",[RoW],"packaging glass production, brown",kg,6,"packaging glass, brown_packaging glass production, brown",4
"packaging glass, green//[RoW] packaging glass production, green","packaging glass, green",[RoW],"packaging glass production, green",kg,6,"packaging glass, green_packaging glass production, green",4
"packaging glass, white//[RoW] packaging glass production, white","packaging glass, white",[RoW],"packaging glass production, white",kg,6,"packaging glass, white_packaging glass production, white",4
packaging glass sorting facility//[RoW] packaging glass sorting facility construction,packaging glass sorting facility,[RoW],packaging glass sorting facility construction,unit,3,packaging glass sorting facility_packaging glass sorting facility construction,2
"packing, cement//[RoW] packing, cement","packing, cement",[RoW],"packing, cement",kg,3,"packing, cement_packing, cement",2
"packing, clay product//[RoW] packing, clay product","packing, clay product",[RoW],"packing, clay product",kg,3,"packing, clay product_packing, clay product",2
"packing, fibre cement product//[RoW] packing, fibre cement product","packing, fibre cement product",[RoW],"packing, fibre cement product",kg,3,"packing, fibre cement product_packing, fibre cement product",2
"packing, lime product//[RoW] packing, lime product","packing, lime product",[RoW],"packing, lime product",kg,3,"packing, lime product_packing, lime product",2
"palm oil, crude//[RoW] palm oil mill operation","palm oil, crude",[RoW],palm oil mill operation,kg,3,"palm oil, crude_palm oil mill operation",2
"palm kernel oil, crude//[RoW] palm oil mill operation","palm kernel oil, crude",[RoW],palm oil mill operation,kg,3,"palm kernel oil, crude_palm oil mill operation",2
paper machine//[RoW] paper machine production,paper machine,[RoW],paper machine production,unit,3,paper machine_paper machine production,2
"paper mill, integrated//[RoW] paper mill construction, integrated","paper mill, integrated",[RoW],"paper mill construction, integrated",unit,3,"paper mill, integrated_paper mill construction, integrated",2
"paper mill, non-integrated//[RoW] paper mill construction, non-integrated","paper mill, non-integrated",[RoW],"paper mill construction, non-integrated",unit,3,"paper mill, non-integrated_paper mill construction, non-integrated",2
"paper, newsprint//[RoW] paper production, newsprint, recycled","paper, newsprint",[RoW],"paper production, newsprint, recycled",kg,8,"paper, newsprint_paper production, newsprint, recycled",3
"paper, newsprint//[RoW] paper production, newsprint, virgin","paper, newsprint",[RoW],"paper production, newsprint, virgin",kg,8,"paper, newsprint_paper production, newsprint, virgin",3
"paper, woodcontaining, lightweight coated//[RoW] paper production, woodcontaining, lightweight coated","paper, woodcontaining, lightweight coated",[RoW],"paper production, woodcontaining, lightweight coated",kg,5,"paper, woodcontaining, lightweight coated_paper production, woodcontaining, lightweight coated",3
"paper, woodcontaining, supercalendred//[RoW] paper production, woodcontaining, supercalendred","paper, woodcontaining, supercalendred",[RoW],"paper production, woodcontaining, supercalendred",kg,5,"paper, woodcontaining, supercalendred_paper production, woodcontaining, supercalendred",3
"paper, woodfree, coated//[RoW] paper production, woodfree, coated, at integrated mill","paper, woodfree, coated",[RoW],"paper production, woodfree, coated, at integrated mill",kg,6,"paper, woodfree, coated_paper production, woodfree, coated, at integrated mill",2
"paper, woodfree, coated//[RoW] paper production, woodfree, coated, at non-integrated mill","paper, woodfree, coated",[RoW],"paper production, woodfree, coated, at non-integrated mill",kg,6,"paper, woodfree, coated_paper production, woodfree, coated, at non-integrated mill",2
"paper, woodfree, uncoated//[RoW] paper production, woodfree, uncoated, 100% recycled content, at non-integrated mill","paper, woodfree, uncoated",[RoW],"paper production, woodfree, uncoated, 100% recycled content, at non-integrated mill",kg,12,"paper, woodfree, uncoated_paper production, woodfree, uncoated, 100% recycled content, at non-integrated mill",2
"paper, woodfree, uncoated//[RoW] paper production, woodfree, uncoated, 50% recycled content, at non-integrated mill","paper, woodfree, uncoated",[RoW],"paper production, woodfree, uncoated, 50% recycled content, at non-integrated mill",kg,12,"paper, woodfree, uncoated_paper production, woodfree, uncoated, 50% recycled content, at non-integrated mill",2
"paper, woodfree, uncoated//[RoW] paper production, woodfree, uncoated, at integrated mill","paper, woodfree, uncoated",[RoW],"paper production, woodfree, uncoated, at integrated mill",kg,12,"paper, woodfree, uncoated_paper production, woodfree, uncoated, at integrated mill",3
"paper, woodfree, uncoated//[RoW] paper production, woodfree, uncoated, at non-integrated mill","paper, woodfree, uncoated",[RoW],"paper production, woodfree, uncoated, at non-integrated mill",kg,12,"paper, woodfree, uncoated_paper production, woodfree, uncoated, at non-integrated mill",2
paraffin//[RoW] paraffin production,paraffin,[RoW],paraffin production,kg,3,paraffin_paraffin production,2
"particle board, for indoor use//[RoW] particle board production, for indoor use, from virgin wood","particle board, for indoor use",[RoW],"particle board production, for indoor use, from virgin wood",m3,5,"particle board, for indoor use_particle board production, for indoor use, from virgin wood",2
"wood chips, dry, measured as dry mass//[RoW] particle board production, for indoor use","wood chips, dry, measured as dry mass",[RoW],"particle board production, for indoor use",kg,19,"wood chips, dry, measured as dry mass_particle board production, for indoor use",2
"particle board, for indoor use//[RoW] particle board production, for indoor use","particle board, for indoor use",[RoW],"particle board production, for indoor use",m3,5,"particle board, for indoor use_particle board production, for indoor use",2
"particle board, for outdoor use//[RoW] particle board production, for outdoor use","particle board, for outdoor use",[RoW],"particle board production, for outdoor use",m3,3,"particle board, for outdoor use_particle board production, for outdoor use",2
"wood chips, dry, measured as dry mass//[RoW] particle board production, for outdoor use","wood chips, dry, measured as dry mass",[RoW],"particle board production, for outdoor use",kg,19,"wood chips, dry, measured as dry mass_particle board production, for outdoor use",2
"residual wood, dry//[RoW] particle board production, uncoated, average glue mix","residual wood, dry",[RoW],"particle board production, uncoated, average glue mix",m3,36,"residual wood, dry_particle board production, uncoated, average glue mix",2
"bark chips, wet, measured as dry mass//[RoW] particle board production, uncoated, average glue mix","bark chips, wet, measured as dry mass",[RoW],"particle board production, uncoated, average glue mix",kg,16,"bark chips, wet, measured as dry mass_particle board production, uncoated, average glue mix",2
"particleboard, uncoated//[RoW] particle board production, uncoated, average glue mix","particleboard, uncoated",[RoW],"particle board production, uncoated, average glue mix",m3,3,"particleboard, uncoated_particle board production, uncoated, average glue mix",2
"heat, district or industrial, other than natural gas//[RoW] particle board production, uncoated, average glue mix","heat, district or industrial, other than natural gas",[RoW],"particle board production, uncoated, average glue mix",MJ,200,"heat, district or industrial, other than natural gas_particle board production, uncoated, average glue mix",2
"peat moss//[RoW] peat moss production, horticultural use",peat moss,[RoW],"peat moss production, horticultural use",m3,3,"peat moss_peat moss production, horticultural use",2
pentaerythritol//[RoW] pentaerythritol production in sodium hydroxide solution,pentaerythritol,[RoW],pentaerythritol production in sodium hydroxide solution,kg,3,pentaerythritol_pentaerythritol production in sodium hydroxide solution,2
sodium formate//[RoW] pentaerythritol production in sodium hydroxide solution,sodium formate,[RoW],pentaerythritol production in sodium hydroxide solution,kg,4,sodium formate_pentaerythritol production in sodium hydroxide solution,2
pentane//[RoW] pentane production,pentane,[RoW],pentane production,kg,5,pentane_pentane production,2
"petroleum//[RoW] petroleum production, onshore",petroleum,[RoW],"petroleum production, onshore",kg,14,"petroleum_petroleum production, onshore",4
petroleum refinery//[RoW] petroleum refinery construction,petroleum refinery,[RoW],petroleum refinery construction,unit,3,petroleum refinery_petroleum refinery construction,2
"phosphoric acid factory, fertiliser grade//[RoW] phosphoric acid factory construction, fertiliser grade","phosphoric acid factory, fertiliser grade",[RoW],"phosphoric acid factory construction, fertiliser grade",unit,3,"phosphoric acid factory, fertiliser grade_phosphoric acid factory construction, fertiliser grade",2
"phosphoric acid, fertiliser grade, without water, in 70% solution state//[RoW] phosphoric acid production, dihydrate process","phosphoric acid, fertiliser grade, without water, in 70% solution state",[RoW],"phosphoric acid production, dihydrate process",kg,4,"phosphoric acid, fertiliser grade, without water, in 70% solution state_phosphoric acid production, dihydrate process",3
"fluosilicic acid, without water, in 22% solution state//[RoW] phosphoric acid production, dihydrate process","fluosilicic acid, without water, in 22% solution state",[RoW],"phosphoric acid production, dihydrate process",kg,4,"fluosilicic acid, without water, in 22% solution state_phosphoric acid production, dihydrate process",3
photovoltaic cell factory//[RoW] photovoltaic cell factory construction,photovoltaic cell factory,[RoW],photovoltaic cell factory construction,unit,3,photovoltaic cell factory_photovoltaic cell factory construction,2
